Brand,Price,Horsepower,Fuel Efficiency,encoded_brand,scaled_fuel_efficieny,scaled_horsepower,scaled_encoded_brand,Performance_Index
Brand C,91942,382,15.3,6,0.21200000000000002,0.705,0.625,0.002958278044854364
Brand A,70075,197,32.6,4,0.904,0.2425,0.375,0.00210745629682483
Brand C,84524,188,34.9,6,0.996,0.22,0.625,0.0016808243812408308
Brand E,68939,258,15.1,2,0.204,0.395,0.125,0.002685417543045301
Brand X,66505,277,13.0,8,0.12,0.4425,0.875,0.002974212465228178
Brand W,92762,125,18.5,1,0.34,0.0625,0.0,0.0010031047196050107
Brand Y,99356,284,20.6,3,0.42400000000000004,0.46,0.25,0.00206308627561496
Brand A,38486,445,22.0,4,0.48,0.8625,0.375,0.00826534324169828
Brand A,54628,426,13.5,4,0.14,0.815,0.375,0.00553287691293842
Brand D,93925,250,22.1,9,0.48400000000000004,0.375,1.0,0.0019337769496939046
Brand D,91392,196,34.6,9,0.9840000000000001,0.24,1.0,0.001614802170868347
Brand W,44426,243,28.9,1,0.7559999999999999,0.3575,0.0,0.004023994957907531
Brand B,80911,380,14.0,5,0.16,0.7,0.5,0.003339471765272954
Brand Z,70801,434,12.1,7,0.08399999999999999,0.835,0.75,0.004342170308328978
Brand Y,56553,267,26.6,3,0.664,0.4175,0.25,0.0034459710360193086
Brand C,98956,302,19.7,6,0.38799999999999996,0.505,0.625,0.002196026516835765
Brand D,41342,397,20.9,9,0.43599999999999994,0.7425,1.0,0.006873639398190701
Brand Y,56788,371,16.6,3,0.26400000000000007,0.6775,0.25,0.00466084384024794
Brand W,73681,368,22.8,1,0.512,0.67,0.0,0.0035889849486299037
Brand C,63849,448,23.3,6,0.532,0.87,0.625,0.005021065326003539
Brand D,66440,392,31.5,9,0.86,0.73,1.0,0.004272275737507525
Brand D,32201,443,31.4,9,0.856,0.8575,1.0,0.009922673208906555
Brand C,58132,271,14.4,6,0.17600000000000002,0.4275,0.625,0.0033375765499208693
Brand W,55534,289,21.3,1,0.452,0.4725,0.0,0.0037578780566859937
Brand D,58482,326,28.2,9,0.728,0.565,1.0,0.004046715228617353
Brand D,62941,415,30.4,9,0.816,0.7875,1.0,0.004760331103732067
Brand Z,38558,425,33.3,7,0.9319999999999999,0.8125,0.75,0.007974739353700919
Brand Z,89631,159,30.4,7,0.816,0.1475,0.75,0.0013435083843759414
Brand Y,81392,123,28.8,3,0.752,0.0575,0.25,0.0011639964615687045
Brand Z,88737,133,15.3,7,0.21200000000000002,0.0825,0.75,0.0011008936520279027
Brand Y,83940,418,30.6,3,0.8240000000000001,0.795,0.25,0.0035951870383607335
Brand W,78623,406,28.6,1,0.7440000000000001,0.765,0.0,0.0037238467115220733
Brand E,54572,462,34.2,2,0.9680000000000001,0.905,0.125,0.006114124459429744
Brand X,90994,412,21.5,8,0.46,0.78,0.875,0.00324032353781568
Brand E,93796,301,19.8,2,0.392,0.5025,0.125,0.0023096933771162946
Brand Y,87899,375,34.5,3,0.98,0.6875,0.25,0.0031041308774843856
Brand X,53136,348,29.8,8,0.792,0.62,0.875,0.004752710027100271
Brand D,59191,372,18.0,9,0.32,0.68,1.0,0.004490547549458532
Brand W,31549,293,20.0,1,0.4,0.4825,0.0,0.006691178801229832
Brand Y,65818,191,23.1,3,0.524,0.2275,0.25,0.0021366495487556594
Brand W,32910,469,27.6,1,0.7040000000000001,0.9225,0.0,0.010227286539045881
Brand A,38830,145,28.0,4,0.72,0.1125,0.375,0.0028302858614473346
Brand B,49391,377,29.0,5,0.76,0.6925,0.5,0.0055192241501488114
Brand Z,91045,479,15.4,7,0.21600000000000003,0.9475,0.75,0.003733538360151573
Brand D,83677,451,14.2,9,0.16799999999999998,0.8775,1.0,0.0038237508514884612
